Country,State,Year,Emission_Type,Emission
United States,South Dakota,1996,Fossil_CO2,924.39018430643
United States,Tennessee,1996,Fossil_CO2,12353.739794954
United States,Texas,1996,Fossil_CO2,92548.447622406
United States,Utah,1996,Fossil_CO2,5886.1904147131
United States,Vermont,1996,Fossil_CO2,501.14489585234
United States,Virginia,1996,Fossil_CO2,13184.715126009
United States,Washington,1996,Fossil_CO2,21772.160660499
United States,West Virginia,1996,Fossil_CO2,8235.3212761205
United States,California,1996,Fossil_CO2,85001.976187292
United States,Wisconsin,1996,Fossil_CO2,13355.584730683
United States,Wyoming,1996,Fossil_CO2,3309.971950165
United States,Colorado,1996,Fossil_CO2,10524.958684896
United States,Connecticut,1996,Fossil_CO2,1944.3036649344
United States,Delaware,1996,Fossil_CO2,6817.3602277003
United States,District of Columbia,1996,Fossil_CO2,174.41963953787
United States,Alabama,1997,Fossil_CO2,26964.295119275
United States,Florida,1997,Fossil_CO2,18883.434155289
United States,Georgia,1997,Fossil_CO2,27378.827438807
United States,Hawaii,1997,Fossil_CO2,2402.629498107
United States,Idaho,1997,Fossil_CO2,2352.1078015505
United States,Illinois,1997,Fossil_CO2,39149.468389958
United States,Indiana,1997,Fossil_CO2,66400.221349544
United States,Iowa,1997,Fossil_CO2,21103.433716183
United States,Kansas,1997,Fossil_CO2,14114.221967208
United States,Kentucky,1997,Fossil_CO2,15936.752150307
United States,Louisiana,1997,Fossil_CO2,70488.653892256
United States,Alaska,1997,Fossil_CO2,9700.9132328404
United States,Maine,1997,Fossil_CO2,3268.7700208323
United States,Maryland,1997,Fossil_CO2,6178.6191937963
United States,Massachusetts,1997,Fossil_CO2,4583.163165673
United States,Michigan,1997,Fossil_CO2,27855.037293291
United States,Minnesota,1997,Fossil_CO2,12598.508558251
United States,Mississippi,1997,Fossil_CO2,58355.357025986
United States,Missouri,1997,Fossil_CO2,12117.910879547
United States,Montana,1997,Fossil_CO2,4863.6510924858
United States,Nebraska,1997,Fossil_CO2,4602.5924508925
United States,Nevada,1997,Fossil_CO2,2467.3744604635
United States,Arizona,1997,Fossil_CO2,5961.6464780448
United States,New Hampshire,1997,Fossil_CO2,991.6699926112
United States,New Jersey,1997,Fossil_CO2,14812.504016511
United States,New Mexico,1997,Fossil_CO2,3949.7078704654
United States,New York,1997,Fossil_CO2,15566.427098104
United States,North Carolina,1997,Fossil_CO2,11912.864647695
United States,North Dakota,1997,Fossil_CO2,23041.288579887
United States,Ohio,1997,Fossil_CO2,40618.066870261
United States,Oklahoma,1997,Fossil_CO2,25586.848151617
United States,Oregon,1997,Fossil_CO2,9122.7750697946
United States,Pennsylvania,1997,Fossil_CO2,31060.813088446
United States,Arkansas,1997,Fossil_CO2,20675.003456469
United States,Rhode Island,1997,Fossil_CO2,1141.2108496435
United States,South Carolina,1997,Fossil_CO2,14281.674846865
United States,South Dakota,1997,Fossil_CO2,1079.1489840711
United States,Tennessee,1997,Fossil_CO2,13077.756839837
United States,Texas,1997,Fossil_CO2,97016.272662261
United States,Utah,1997,Fossil_CO2,6325.5233801153
United States,Vermont,1997,Fossil_CO2,564.98910775045
United States,Virginia,1997,Fossil_CO2,13619.431091308
United States,Washington,1997,Fossil_CO2,22681.859684823
United States,West Virginia,1997,Fossil_CO2,8450.8577281324
United States,California,1997,Fossil_CO2,91830.342651469
United States,Wisconsin,1997,Fossil_CO2,14398.687182323
United States,Wyoming,1997,Fossil_CO2,3444.7976239599
United States,Colorado,1997,Fossil_CO2,11002.415314935
United States,Connecticut,1997,Fossil_CO2,2273.4811288287
United States,Delaware,1997,Fossil_CO2,7025.2879429375
United States,District of Columbia,1997,Fossil_CO2,204.43945361105
United States,Alabama,1998,Fossil_CO2,26927.413095514
United States,Florida,1998,Fossil_CO2,18825.687538776
United States,Georgia,1998,Fossil_CO2,27345.791030455
United States,Hawaii,1998,Fossil_CO2,2385.3138738703
United States,Idaho,1998,Fossil_CO2,2393.2870116326
United States,Illinois,1998,Fossil_CO2,40353.468942144
United States,Indiana,1998,Fossil_CO2,69839.446931788
United States,Iowa,1998,Fossil_CO2,20758.346820165
United States,Kansas,1998,Fossil_CO2,14001.288389221
United States,Kentucky,1998,Fossil_CO2,16187.500320022
United States,Louisiana,1998,Fossil_CO2,70001.485032721
United States,Alaska,1998,Fossil_CO2,9626.4374032188
United States,Maine,1998,Fossil_CO2,3153.2781373642
United States,Maryland,1998,Fossil_CO2,6334.0059549324
United States,Massachusetts,1998,Fossil_CO2,4423.5717601228
United States,Michigan,1998,Fossil_CO2,28750.071994528
United States,Minnesota,1998,Fossil_CO2,12676.995261229
United States,Mississippi,1998,Fossil_CO2,57496.67960516
United States,Missouri,1998,Fossil_CO2,11959.407139065
United States,Montana,1998,Fossil_CO2,4862.4806843737
United States,Nebraska,1998,Fossil_CO2,4677.832122656
United States,Nevada,1998,Fossil_CO2,2694.9953416022
United States,Arizona,1998,Fossil_CO2,6122.3905002542
United States,New Hampshire,1998,Fossil_CO2,979.48083345725
United States,New Jersey,1998,Fossil_CO2,14804.864928141
United States,New Mexico,1998,Fossil_CO2,3962.1971480744
